Número,¿De qué trata la página?,¿Qué crees que puede mejorar para que las usuarias tengan una buena experiencia?
1,Sobre una app para mujeres en situaciones de riesgo,Poner un link para enviar directamente el mensaje desde la página
2,Códigos que permiten comunicarte con el propósito de cuidarnos entre la comidas y cárculo de confianza.,Tipografía y colores simplificados 
3,Mensajes cifrados para brindar seguridad y apoyo a mujeres que sufren acoso callejero.,Algo más dinámico. 
4,Ayuda a mujeres,"Menos letra , más imágenes "
5,Seguridad para mujeres ,
6,App para codificar o decodificar mensajes de auxilio a mujeres que sufren acoso o abuso.,Que el mensaje a enviar tenga un texto predictivo cuando lo mandamos por whatsapp o msg de texto. Para que de envie con un clic y no hacer uso de copy-paste
7,pagina web para codificar mensajes enfocado en ayudar a las mujeres en situaciones de violencia,se me ocurre que podrian usar el estilo de google translate de paneles en paralelo para que veas al mismo tiempo el mensaje mas el mensaje codificado. 
8,De una aplicación para ayudar a mujeres a estar seguras mandando mensajes codificados,"Podría explicar un poco más del funcionamiento de la app, en que circunstancias es útil, como se envía un mensaje a determinada persona etc"
9,"Es una plataforma de ayuda a mujeres, en la cual pueden enviar mensajes cifrados a alguien si se encuentran en situación de peligro ","Si no me quedó muy claro cómo es que el tercero leer el mensaje  y que es eso de número de desplazamiento, creo que falta explicar cómo opera, la idea es buena, pero al menos no super con claridad si yo tengo un número de desplazamiento X y siempre será el mismo y quien lo le ingresa ese código y de esa forma puede leerlo ? "
10,Es una página para la codificación de mensajes con un uso de S.O.S.,Tuvo muchos errores. Codifiqué el mensaje y a la hora de revertirlo el texto no tenía sentido. Sólo la primera palabra fue correcta.
11,Una app para pedir auxilio a personas de confianza de manera codificada frente a un acoso callejero,"Quizás es un poco difícil usarla de manera rápida porque hay que acceder a través de una página web, podría ser una aplicación descargable"
12,Codifica mensajes para ayudar a mujeres en situación de peligro,
13,"es una alternativa para enviar mensajes a conocidxs en caso de que te sientas vulnerable o en una situación de peligro en las calles, y en general en los espacios públicos ","creo que de cierta manera tardarías un poco en detenerte a escribir un mensaje y codificarlo, aunque con la práctica y ya sabiendo exactamente que paso sigue, será fácil y muy útil de utilizarla "
14,"Es una plataforma de ayuda a mujeres, en la cual pueden enviar mensajes cifrados a alguien si se encuentran en situación de peligro ","Si no me quedó muy claro cómo es que el tercero leería el mensaje  y que es eso de número de desplazamiento, creo que falta explicar cómo opera, la idea es buena, pero al menos no super con claridad si yo tengo un número de desplazamiento X y siempre será el mismo y quien lo le ingresa ese código y de esa forma puede leerlo ? "
15,una pagina para enviar mensajes de ayuda de forma secreta,"Me parece que la final de la página esta mencionada después del botón que explica el código Cesar y en realidad debería ser la primera frase de la página, posteriormente explicar que significa OLSW, etc."
16,De una app para ayudar a las mujeres a codificar mensajes secretos,Tal vez un menú general para acceder a cualquier opción inmediatamente 
17,"Es una ayuda para tratar el acoso, dando la herramienta de poder codificar un mensaje o decodificarlo de ser necesario","Tal vez le reduciría un poco la letra cuando se esta haciendo el codificado, sólo por cuestiones de estética n_n"
18,es para mandar un msj codifcado cuando estas en situacion de riesgo,"es excelente, te felicito pau"
